ID	sample	path	ref_samples	genome_build	weights
DELFI_breast_cancer_corrected_v20	EGAF00002727230_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727230_GCcorrected.bam	EGAF00002727230_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727231_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727231_GCcorrected.bam	EGAF00002727231_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727232_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727232_GCcorrected.bam	EGAF00002727232_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727233_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727233_GCcorrected.bam	EGAF00002727233_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727234_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727234_GCcorrected.bam	EGAF00002727234_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727235_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727235_GCcorrected.bam	EGAF00002727235_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727236_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727236_GCcorrected.bam	EGAF00002727236_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727237_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727237_GCcorrected.bam	EGAF00002727237_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727238_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727238_GCcorrected.bam	EGAF00002727238_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727239_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727239_GCcorrected.bam	EGAF00002727239_c	GRCh38	-g
DELFI_breast_cancer_corrected_v20	EGAF00002727240_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_breastcancer/GCcorrect/hg38/EGAF00002727240_GCcorrected.bam	EGAF00002727240_c	GRCh38	-g
