ID	sample	path	ref_samples	genome_build	weights
DELFI_breast_cancer_uncorrected	EGAF00002727230_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727230_breast_cancer_processed.hg38.bam	EGAF00002727230_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727231_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727231_breast_cancer_processed.hg38.bam	EGAF00002727231_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727232_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727232_breast_cancer_processed.hg38.bam	EGAF00002727232_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727233_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727233_breast_cancer_processed.hg38.bam	EGAF00002727233_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727234_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727234_breast_cancer_processed.hg38.bam	EGAF00002727234_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727235_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727235_breast_cancer_processed.hg38.bam	EGAF00002727235_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727236_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727236_breast_cancer_processed.hg38.bam	EGAF00002727236_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727237_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727237_breast_cancer_processed.hg38.bam	EGAF00002727237_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727238_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727238_breast_cancer_processed.hg38.bam	EGAF00002727238_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727239_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727239_breast_cancer_processed.hg38.bam	EGAF00002727239_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727240_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727240_breast_cancer_processed.hg38.bam	EGAF00002727240_c	GRCh38	 
DELFI_breast_cancer_uncorrected	EGAF00002727241_c	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727241_breast_cancer_processed.hg38.bam	EGAF00002727241_c	GRCh38	 
