ID	sample	path	ref_samples	genome_build	weights
DELFI_healthy_random_corrected_v20	EGAF00002727428_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727428_GCcorrected.bam	EGAF00002727428_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727548_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727548_GCcorrected.bam	EGAF00002727548_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727166_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727166_GCcorrected.bam	EGAF00002727166_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727130_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727130_GCcorrected.bam	EGAF00002727130_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727530_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727530_GCcorrected.bam	EGAF00002727530_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727651_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727651_GCcorrected.bam	EGAF00002727651_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727650_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727650_GCcorrected.bam	EGAF00002727650_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727494_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727494_GCcorrected.bam	EGAF00002727494_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727422_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727422_GCcorrected.bam	EGAF00002727422_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727628_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727628_GCcorrected.bam	EGAF00002727628_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727542_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727542_GCcorrected.bam	EGAF00002727542_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727544_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727544_GCcorrected.bam	EGAF00002727544_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727638_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727638_GCcorrected.bam	EGAF00002727638_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727525_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727525_GCcorrected.bam	EGAF00002727525_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727566_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727566_GCcorrected.bam	EGAF00002727566_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727473_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727473_GCcorrected.bam	EGAF00002727473_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727649_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727649_GCcorrected.bam	EGAF00002727649_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727162_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727162_GCcorrected.bam	EGAF00002727162_h	GRCh38	-g
DELFI_healthy_random_corrected_v20	EGAF00002727432_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/GC_correction_workflow/results/intermediate/samples_Lea_healthy/GCcorrect/hg38/EGAF00002727432_GCcorrected.bam	EGAF00002727432_h	GRCh38	-g
