ID	sample	path	ref_samples	genome_build	weights
DELFI_healthy_random_uncorrected	EGAF00002727428_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727428_healthy_processed.hg38.bam	EGAF00002727428_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727548_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727548_healthy_processed.hg38.bam	EGAF00002727548_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727166_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727166_healthy_processed.hg38.bam	EGAF00002727166_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727130_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727130_healthy_processed.hg38.bam	EGAF00002727130_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727530_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727530_healthy_processed.hg38.bam	EGAF00002727530_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727651_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727651_healthy_processed.hg38.bam	EGAF00002727651_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727650_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727650_healthy_processed.hg38.bam	EGAF00002727650_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727494_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727494_healthy_processed.hg38.bam	EGAF00002727494_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727422_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727422_healthy_processed.hg38.bam	EGAF00002727422_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727628_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727628_healthy_processed.hg38.bam	EGAF00002727628_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727542_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727542_healthy_processed.hg38.bam	EGAF00002727542_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727544_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727544_healthy_processed.hg38.bam	EGAF00002727544_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727638_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727638_healthy_processed.hg38.bam	EGAF00002727638_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727525_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727525_healthy_processed.hg38.bam	EGAF00002727525_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727566_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727566_healthy_processed.hg38.bam	EGAF00002727566_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727473_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727473_healthy_processed.hg38.bam	EGAF00002727473_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727649_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727649_healthy_processed.hg38.bam	EGAF00002727649_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727162_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727162_healthy_processed.hg38.bam	EGAF00002727162_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727432_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727432_healthy_processed.hg38.bam	EGAF00002727432_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727561_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727561_healthy_processed.hg38.bam	EGAF00002727561_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727577_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727577_healthy_processed.hg38.bam	EGAF00002727577_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727573_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727573_healthy_processed.hg38.bam	EGAF00002727573_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727392_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727392_healthy_processed.hg38.bam	EGAF00002727392_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727636_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727636_healthy_processed.hg38.bam	EGAF00002727636_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727139_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727139_healthy_processed.hg38.bam	EGAF00002727139_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727404_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727404_healthy_processed.hg38.bam	EGAF00002727404_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727639_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727639_healthy_processed.hg38.bam	EGAF00002727639_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727480_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727480_healthy_processed.hg38.bam	EGAF00002727480_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727617_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727617_healthy_processed.hg38.bam	EGAF00002727617_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727137_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727137_healthy_processed.hg38.bam	EGAF00002727137_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727393_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727393_healthy_processed.hg38.bam	EGAF00002727393_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727641_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727641_healthy_processed.hg38.bam	EGAF00002727641_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727528_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727528_healthy_processed.hg38.bam	EGAF00002727528_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727610_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727610_healthy_processed.hg38.bam	EGAF00002727610_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727661_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727661_healthy_processed.hg38.bam	EGAF00002727661_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727427_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727427_healthy_processed.hg38.bam	EGAF00002727427_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727149_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727149_healthy_processed.hg38.bam	EGAF00002727149_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727607_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727607_healthy_processed.hg38.bam	EGAF00002727607_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727657_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727657_healthy_processed.hg38.bam	EGAF00002727657_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727608_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727608_healthy_processed.hg38.bam	EGAF00002727608_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727611_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727611_healthy_processed.hg38.bam	EGAF00002727611_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727632_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727632_healthy_processed.hg38.bam	EGAF00002727632_h	GRCh38	 
DELFI_healthy_random_uncorrected	EGAF00002727433_h	/fast/groups/ag_kircher/cfDNA-analysis/sebastian/develop/cfDNA_preprocessing_workflow/results/samples_Lea/mapped_reads/EGAF00002727433_healthy_processed.hg38.bam	EGAF00002727433_h	GRCh38	 
